,address,availability,bathroom,bedrooms,date_listed,date_update,furnished,gender,link,parking,pet,price,smoking,text,title,type_,user,views,latitude,longitude
938,Maroubra NSW,16/11/2018,1 Bathroom,3 Bedrooms,14/11/2018,14/11/2018,Yes,,https://www.gumtree.com.au/s-ad/maroubra/flatshare-houseshare/furnished-spacious-private-rooms-with-build-ins-near-powh-unsw/1200954918,LUG,No,$240,No,"The north facing 3 bedroom fully furnished jewel with built in wardrobes in each room is only a stroll from the Eastgardens Westfield shopping center , few meters to park, golf course , bus stop to city or Bondi junction, or Maroubra beach and only like 15 min walk to UNSW.,- brand new carpet throughout;,- huge living area with sheltered enclosed balcony;,- relax on leather convertible sofa in front of Lcd TV ;,- Kitchen with electric oven, microwave coffee machine and all utensils;,- Bathroom with shower and bath- tub;,- Separate private laundry on ground floor,- lock up garage,Flexible with room furnishing from,$240 single bed and huge build ins.,$300 spacious furnished or unfurnished huge master bedroom with build ins.,Looking for non party animals who will treat the place like a resting place for studying and relaxing after the work. Pretty relaxed environment.",FURNISHED SPACIOUS PRIVATE ROOMS WITH BUILD INS near POWH &UNSW,Flatshare,"Martina,Gummie since, ,2013","35, , views",-33.9453441,151.2456824
939,"Delmar Parade, Dee Why, NSW",16/02/2018,2 Bathrooms,3 Bedrooms,14/11/2018,14/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/dee-why/flatshare-houseshare/studio-size-room-on-oceanside-of-dee-why-with-foxtl-wif-couple-ok/1165545469,,No,$335,Yes,"Only $335 singke. And $395 for couple. Furnished room, huge with the lounge sitting / eating area including all bills , WiFi and Foxtel platinuim package. Private flat screen TV and own Foxtel box with Foxtel Platinum package in the room, big wardrobe and nice queen bed. Private and central, yet quiet, best part of Dee Why on the ocean side, next to DeeWhy Grand shopping and 2 min walk to transport. Very comfortable, fully furnished room with private entry from the large covered deck entertaining area. Shared kitchen area and bathroom facilities: full bathrom free standing shower and a separate toilet. Spacious, full brick house, cool in summer. Minimum stay (contract) 3 months, 3 week bond. Please call/text Galina.",Studio size room on oceanside of Dee Why with Foxtl/WiF couple ok,Houseshare,"Galina,Gummie since, ,2012","59, , views",-33.7560587,151.2828982
940,Burwood NSW 2134,29/11/2018,,,14/11/2018,15/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/burwood/flatshare-houseshare/burwood-close-train-shops-clean-safe/1200958477,Street,,$220,No,"Burwood own room close train shops,spacious QUIET house,looking for someone without too many issues or dramas with a high moral core. We are a quiet busy house of busy professionals, friendly and quiet disposition.,NO LOUD PARTIES!,Single room (own room),Fully furnished,5min walk to Croydon station or 10min to Burwood station,Quiet and very safe area.,All nationalities welcome,Comes with wifi, electricity gas water,,$225/ week.,Ring,******** 445","Burwood, close train shops clean safe",Houseshare,"Gumtree User,Gummie since, ,2015","27, , views",-33.8784753,151.104049
941,"222 Moorefields Road, Beverly Hills NSW",14/11/2018,2 Bathrooms,6 or more Bedrooms,14/11/2018,14/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/beverly-hills/flatshare-houseshare/fully-furnished-single-room-in-beverly-hills/1200955788,Street,No,$200,Yes,"Private room in the share house.,Convienent location at Moorefield Road, Beverly Hills, NSW 2209,Just only min walk to the bus stop; 1km from Beverly Hills station. Close to Roselands Shopping centre; Short distance drive to Belmore; Kingsgrove; Widely park, Hustville, Lakemba...,Nice, spacious and stylish house, huge room; stylish living room; big garden with nice flowers. The house also has washing machine, kitchen applicants; fridge; TV, microwave...,Private room with fully furnished : bed, table, waldrobe; chair..,Quite enviroment and friendly flatmates.,Price $200/per week ( All bills included),Flexible for long terrm stay.",Fully furnished single room in Beverly Hills,Houseshare,"Hannah nguyen,Gummie since, ,2008","15, , views",-33.9396618,151.075575
942,Kingswood NSW,14/11/2018,1 Bathroom,2 Bedrooms,14/11/2018,14/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/kingswood/flatshare-houseshare/-only-105-wk-room-for-rent-in-kingswood/1200958610,,Yes,$105,,"1 bedroom with bed and desk included. You won't get a better deal than this in Sydney. I am a friendly, easy going bloke in my late twenties with a love for people of all cultures. No minimum stay. Feel free to call or text: ******** 695 anytime. Cheers! 😊",*ONLY $105/WK* Room for rent in Kingswood,Flatshare,"Phil,Gummie since, ,2015","39, , views",-36.7430556,149.8238889
943,wattle st,14/11/2018,1 Bathroom,3 Bedrooms,14/11/2018,15/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/warwick-farm/flatshare-houseshare/room-to-rent/1200963926,None,Yes,$200,Yes,"1 room for rent in 3 bedroom house,Furnished queen bed and tall boy,Rent includes internet,Would suit student or working single person,**please only working people or students apply **,I live in a single storey house I work full time and I have 1 dog",Room to rent,,"Virginia,Gummie since, ,2010","14, , views",-33.6522712,115.3269372
944,Cabramatta NSW,14/11/2018,2 Bathrooms,5 Bedrooms,14/11/2018,14/11/2018,Yes,Male,https://www.gumtree.com.au/s-ad/cabramatta/flatshare-houseshare/chadderton-street-cabramatta-sydney-2166/1200963929,Covered,No,$250,No,"Conveniently located next to heart of Cabramatta shopping Centre and within walking distance to many other fine restaurants and clubs, as well as fitness centre. Most importantly, walking distance to Cabramatta Train Station where you can connect to many train Lines.,Each room comes with:,- bed and mattress,- air-condition,- study desk and chair,-common area (living room),- All bills included,- washer,- Huge parking spaces,Ideal for young working professionals, as well as local and international students, seeking both short-term and long-term stay in a quiet and safe areas, yet within walking distance to many local attractions.,***Our house is professionally manage by a registered real estate agent which complies with both local fire safety, as well as the NSW Fair Trade Rental Policy, so you will have peace of mind that your right are being protected.,15-20 Minutes Walking Distance to Cabramatta Train Station,Walking Distance to major grocery shopping centre,Flatmates,This is a big double stories house comes with full toilet/shower on each floor.,You will be sharing the shower/toilet with 2-3 other housemates max.,Each week we will have professional cleaner come to help tidy up the house.,Currently, this is an ALL male unit.","Chadderton Street, Cabramatta, Sydney 2166",Houseshare,"Chhay Property,Gummie since, ,2018","19, , views",-33.8983188,150.9344502
945,Frenchs Forest NSW,14/11/2018,1 Bathroom,2 Bedrooms,14/11/2018,18 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/frenchs-forest/flatshare-houseshare/freshly-painted-private-room-with-separate-entrance/1200955365,Off Street,Yes,$225,Yes,"Freshly painted private room with separate entrance at the back of a big house is ready for a single or couple (price for couple is $250). There is another room which has not been rented yet and you will share the kitchen, bathroom and the toilet with the other possible tenant. The room is currently unfurnished but we would be happy to furnish it for you.,The only place you are sharing with the current residents of this property is the laundry.,The house is located in front of the bus stop to city and chatswood and it's about 5 minutes walk from Forestway Shopping Center.,Rent should be paid on a fortnightly basis plus 2 weeks bond.",Freshly painted private room with separate entrance,Houseshare,"Nima,Gummie since, ,2014","54, , views",-33.7479954,151.2292718
946,Mascot NSW,15/11/2018,2 Bathrooms,2 Bedrooms,14/11/2018,14/11/2018,Yes,Female,https://www.gumtree.com.au/s-ad/mascot/flatshare-houseshare/large-master-room-available-for-female/1200967541,Covered,,$350,,"Private large master bedroom available in Mascot for a female who can share well organized flat with another couple.,The room is available for a single female for $350/week. Contact us for more details.,-master room with own bathroom in perfect condition and full privacy,-all furnished (bathroom, bed, closet and table),- room comes with one double bed,- secured apartment complex,-5 minutes walk to station, 2stops from central station,-free unlimited WiFi and all bills included,-one parking lot provided in underground garage,-quiet, tidy environment,-dog friendly as we have a little bichon frise,-2 weeks pay deposit, 3months minimum stay,-room available immediately,629 Gardeners Rd, Mascot, 2020,Jamie ******8618,Ctibor ******2350",LARGE MASTER ROOM AVAILABLE FOR FEMALE,Flatshare,"Ctibor,Gummie since, ,2009","23, , views",-33.9289562,151.1951782
947,Mascot,17/11/2018,2 Bathrooms,2 Bedrooms,14/11/2018,14/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/mascot/flatshare-houseshare/mascot-furnished-room-350-week/1200955983,Street,No,$350,,"Description of the home,Our nice modern 2 bedroom 2 bathroom apartment is fully furnished with a separate lounge / dining area and comes with all the appliances. Large TV with Foxtel and Netflix in the lounge room. Air-conditioning is in the main area plus separate units in the bedrooms.,It's located in a complex that's extremely secure, and is about 5 minutes walk from the train station / cafes and Woolworths. Street parking is available.,Large bedroom, with a Queen bed supplied, plus a desk and TV. Built in double wardrobe with shelving.,Large windows with block out blinds plus curtains, so perfect for sleep ins.,Bathroom entry is across the hall from the bedroom.,About the occupants :,We are Ash & Danielle,Ash is early 30s professional guy, whilst completing his business degree. Enjoys every sport you can name, follows one of their teams and probably has a shirt to prove it.,Danielle is in her late 20s professional girl, completing her psych degree and teaching a few group fitness classes. Loves to cook, loves to share food.,Compatible people :,We're looking for a friendly and considerate flatmate who will appreciate our apartment. We hope to enjoy the odd delivered pizza or home-cooked meal along with some laughs. We prefer a housemate that is working full-time. We are a social / chatty couple but we also understand privacy.",Mascot Furnished Room $350/week,Flatshare,"Danielle,Gummie since, ,2011","21, , views",-33.9289562,151.1951782
948,galloway street,18/11/2018,2 Bathrooms,3 Bedrooms,14/11/2018,14/11/2018,Yes,,https://www.gumtree.com.au/s-ad/mascot/flatshare-houseshare/single-room-luxury-meriton-apartment/1200964142,Covered,No,$399,No,"A brand new and luxurious MERITON APARTMENT - just 3 months old,Fully furnished with luxury and modern furnitures.,Location:,- Situated on level 13 (top level) with views overlooking Sydney City and glimpses of the Sydney Airport.,- Located on the doorstep of Mascot train station (2 minutes walk to train station),- Woolworths supermarket and cafes,- Just minutes from the Sydney CBD and Sydney Domestic/International Airports,-2 Stops to Central,-1 Stop to Domestic Airport,Accommodation:,- The 3 bedroom apartment is designed with modern and clean look.,- Finest interior finishes,- Shared garden terrace on level 4 podium,- Oversized balcony,- Abundance of natural light,- High speed Internet wifi NBN 100mb/s,Features Include:,- Indoor Pool,-Jacuzzi,-Sauna,-Gym,-FOXTEL,-PS4 PRO,-BBQ,-Ducted reverse cycle air conditioning,-Intercom system,-Built in wardrobes,-Security building (including x1 car spaces) with a storage cage,-Dishwasher,-Modern Kitchen with SMEG gas cooktop and appliances and Ceasar stone benchtops.,-Internal laundry (washing machine and dryer),What I am looking for on a flatmate:,1. NON SMOKING!!!!! NON SMOKERS!!!,2. Able to communicate,3. Always keep the apartment clean and safe (in terms of kitchen appliances),4. Looking for a professional but student is acceptable,Please contact me only if you are interested in becoming my flatmate.,*3 weeks bond",SINGLE ROOM LUXURY MERITON APARTMENT,Flatshare,"Mathew,Gummie since, ,2016","32, , views",53.3999346,-2.9403041
949,"St Clair, NSW",15/11/2018,1 Bathroom,1 Bedroom,14/11/2018,17 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/st-clair/flatshare-houseshare/room-for-rent/1200955815,Street,No,$200,No,"Room for rent in large modern house,Looking for single professional person or full time student to board only downstairs bedroom next to front door.,Main downstairs bathroom situated next door to room will be used as washroom.,Large quiet house with modern appliances and pool available. House will be shared with 3 others.,House in located in St. Clair 10 minute drive to St Marys train station, close to bus stops and also 10 minute walk to st clair shopping centre.,Please txt peter on his mobile ******4386",Room for rent,Houseshare,"Peter,Gummie since, ,2017","25, , views",-33.7983333,150.7844444
950,"VIC Parade, Manly NSW",25/11/2018,2 Bathrooms,3 Bedrooms,14/11/2018,14/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/manly/flatshare-houseshare/manly-beach-ocean-view-second-room-for-rent/1200967969,Street,No,$480,No,"we prefer couple or girls.,we prefer long term live (at lease 6 months),the location is very close beach, wharf, coles, shops.,available time from 25/11 sunday,now the flatmates are relly friendly.,if you are interesting please send me message: 0 4 0 4 9 1 9 3 3 3",Manly beach ocean view second room for rent,Flatshare,"Andrew,Gummie since, ,2011","92, , views",none,none
951,"9 Cooper Street, Strathfield NSW",14/11/2018,4 or more Bathrooms,6 or more Bedrooms,14/11/2018,14/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/strathfield/flatshare-houseshare/strathfield-master-bedroom-2-mins-from-station/1200983195,Street,No,$390,No,"Up for rent is a Master bedroom inside a 8 bedroom 3 bathroom House located only 2 minutes from Strathfield station and 10 mins walk to Strathfield plaza. It takes only 15 mins to central CBD, USYD and UTS.,- This is a master bedroom with en-suite.,- Massive walk in wardrobe,- Study desk and chairs.,- Beds can be configured according to your needs.,- Kitchen and laundry is shared,- Rent: $390 for 2 people $440 for 3 people,- Rent payment: 2 weeks in advance,- Minimum stay: 3 Months,Please contact Aaron ******5537 Please mention suburb when you enquiry.",Strathfield Master bedroom 2 mins from station,Houseshare,"aaron,14, ,ads,Gummie since, ,2016","23, , views",-33.8702791,151.0947892
952,"Lidcombe, NSW",14/11/2018,2 Bathrooms,3 Bedrooms,14/11/2018,14/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/lidcombe/flatshare-houseshare/-lidcombe-single-room-cozy-spacious-cheap/1200968296,Covered,No,$230,No,"Hello everyone !,I would like to offer you Cozy/Clean ROOMs in a great place in Lidcombe ! - Brand New Townhouse. ONLY 6 min walk from the Lidcombe station! ! ! Located in a very cozy and quite residential area.,Very clean and spacious your private single room !,- SINGLE bedroom : $230/week only,including ALL BILLs,Very quite and cozy place ! You will love it.,1. It's 6 min walk from Lidcombe,2. Cozy good sized room, with a bed, study table and other furnitures.,3. Clean Shared bathroom,4. In a quite place - No people during the day time !,5. Very safe/quite area !,6. two weeks of bond (bond for any damages and 3 months of min stay),Paid fornightly, the rent including all bills (water internet electricity, etc),I’m an active 29 years male. I work as an accountant who always try to make the house organized, tidy and enjoy meeting new people.,Please text me ******4600. Please come first and FOR SURE YOU WILL LOVE IT !! XD,This will go really fast ! Don’t miss it !",** @ Lidcombe - Single Room - Cozy & Spacious & Cheap,Townhouse Share,"Paul,Gummie since, ,2014","54, , views",-33.8630649,151.0456771
953,Randwick,05/12/2018,1 Bathroom,1 Bedroom,14/11/2018,14/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/randwick/flatshare-houseshare/room-to-rent-for-a-couple/1200983335,Street,,$530,,"Looking for a respectable couple to rent a one bedroom apartment over Christmas from the 5th - 28th December.,Based in Randwick close to all amenities.,Not a party apartment. 530 bond required.",Room to rent for a couple,Flatshare,"Rebecca,Gummie since, ,2017","17, , views",-33.914121,151.2410046
954,461 Cleveland st redfern,12/11/2018,4 or more Bathrooms,6 or more Bedrooms,14/11/2018,Yesterday,Yes,No Preference,https://www.gumtree.com.au/s-ad/redfern/flatshare-houseshare/share-house-surry-hills/1200734580,,No,$250,No,"Great single and double room available in large share House. Would suit student or traveler. Large rooms and the double has a balcony$350 per weekThe room is fully furnished and includes all bills and WiFi. Large communal areas and fully equipped kitchen.,Please call Brendan on ******1221 to arrange viewing.",Share House Surry Hills,Houseshare,"Brendan OConnor,Gummie since, ,2018","35, , views",-33.8896267,151.2057093
955,wentworth St Strathfield,16/11/2018,,,14/11/2018,14/11/2018,Yes,Male,https://www.gumtree.com.au/s-ad/strathfield/flatshare-houseshare/a-private-furnished-room-located-in-a-strathfield-male-shared-house-/1200994313,,No,$175,,A private and secure and furnished room for 1 male person available to rent in a shared house located within walking distance to train station and shopping centres please text or call only if genuine Simon ******7260,A private furnished room located in a Strathfield male shared house .,Houseshare,"simon,5, ,ads,Gummie since, ,2016","79, , views",-33.9056696,151.0724368
956,"56 Sheffield St, Auburn NSW",14/11/2018,1 Bathroom,1 Bedroom,14/11/2018,14/11/2018,Yes,Male,https://www.gumtree.com.au/s-ad/auburn/flatshare-houseshare/single-room/1200994299,Street,No,$165,No,"A clean single room is available in a 4 bedroom house.,Fully furnished,walking distance to auburn station and shops,includes internet, electricity, gas and water.,please text ******1321 for inspection,adress: 6 Sheffield st, Auburn 2144",single room,Houseshare,"arthur,Gummie since, ,2013","44, , views",-33.8464139,151.021818
957,"9 Clarence Street, Burwood NSW",14/11/2018,2 Bathrooms,6 or more Bedrooms,14/11/2018,14/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/burwood/flatshare-houseshare/burwood-room-for-rent-5-mins-from-station-including-bills-furnish/1200983618,Covered,No,$230,Yes,"This is a 7 bedroom 2 bathroom house located only 5 mins walk to station,many restaurants around the corner and Coles and Woolworths only 5-10 mins walk.,Single room $230,Rent includes water electricity and internet.,Current tenants are from Vietnam and Taiwan. We are looking for clean and tidy people to join this fun and cozy house.,Please contact Aaron for more information ******5537",Burwood room for rent 5 mins from station including bills furnish,Houseshare,"aaron,14, ,ads,Gummie since, ,2016","43, , views",-33.8803597,151.1044518
958,"Petersham, NSW",14/11/2018,2 Bathrooms,1 Bedroom,14/11/2018,14/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/petersham/flatshare-houseshare/rooms-to-let/1200994354,Off Street,Ad ID 1200994354,$200,Yes,two storey House with a PRIVATE ROOM Security Keys Next to Petersham TRAIN STATION .. very friendly place Only 10 min away to Uni Tafe and CENTRAL STATION ... Room is neat fridge wardrobe Bed matrass ... Looking for some one preferbably Female Mature or Gent all Bills Included also UNLIMITED INTERNET with Rent .. Pensioners welcome..,rooms to let,Houseshare,"Diego,5, ,ads,Gummie since, ,2016","21, , views",-33.8945061,151.1554222
959,northmead,14/11/2018,2 Bathrooms,3 Bedrooms,14/11/2018,14/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/northmead/flatshare-houseshare/affordable-room-rent-out/1200995172,Covered,Yes,$120,No,"Hi guys.. We are Indian couple, friendly and fun loving renting out our 3 bedroom unit at Northmead Junction.,Unit is new, clean and tidy with full furniture. Got good sized bedroom , with wardrobe and clean toilet.,Northmead junction is 10 min drive to parramatta, 2 min walk to Hungry jacks, office works, subway, dominos, Maccas and few restaurants. 2 min walk to bus stand from which every bus goes to parramatta station in 10 min.,Rent is 120$ per week and utility Bills like wifi, electricity n gas will be shared upon the usage once in a 3 months. Pls text me for inspection. Thank you Have a great day..!!",Affordable room rent out,Flatshare,"Tany,Gummie since, ,2016","79, , views",-33.7844423,150.9983289
960,Greenview Drive and Brickmakers Dr,16/11/2018,3 Bathrooms,4 Bedrooms,14/11/2018,14/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/moorebank/flatshare-houseshare/liverpool-area-own-room-with-key/1179243130,,No,$190,Yes,"Own room with key,Furnished,Furnished,Includes all bills,Please txt to Kirsty ******3883 rather than through gumtree thank you as I do not have notifications on thank you",Liverpool area own room with key,,"kirsty ,Gummie since, ,2012","24, , views",none,none
961,120 cattai creek drive kellyville,14/11/2018,,,14/11/2018,14/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/kellyville/flatshare-houseshare/kellyville-houseshare/1200995624,,No,$155,No,"working person is welcome .,2 weeks rent and 2 week bonds,all bills are included.,The house is very clean and tidy，located in quiet and safe blocks.Fully furnished ,driving close to kellyville village,castle towers,and rouse hill town centre.",Kellyville houseshare,Houseshare,"danae,Gummie since, ,2017","17, , views",-33.704514,150.979428
962,"Bringelly Rd, Kingswood NSW 2747, Australia",,2 Bathrooms,3 Bedrooms,14/11/2018,14/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/kingswood/flatshare-houseshare/room-for-rent/1201000944,LUG,No,$200,,"3 bed room townhouse furnitured,NBN internet,1 person p/room,Price includes Bill's,Ac - TV box - TV 55 inch just come by your bag",Room for rent,Townhouse Share,"adam,Gummie since, ,2015","14, , views",-33.7588756,150.7207
963,"Rhodes, NSW",03/12/2018,2 Bathrooms,2 Bedrooms,14/11/2018,14/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/rhodes/flatshare-houseshare/short-term-2-bed-bath-unit-for-rent-in-wentworth-point/1201000665,Off Street,No,$350,No,"Fully furnished 2 bed/2bath flat available for rent from 03rd December until end of January.,We are going on long vacation for 2 months so planning to rent out our fully furnished apartment(high speed NBN) in high rise building.,1KM from Rhodes station(by walk 15 minutes and 2 minutes by bus) - Free shuttle(community run busses) runs from here to rhodes station every 5 minutes along with public busses which run very frequently.,1 Minute walk to Coles and shopping mall.,3 Minute walk to Olympic Park Ferry Wharf, from here you get direct ferries to Parramatta & City.,Preference given to Indian couple who can keep the unit very clean and tidy.,Feel free to contact me if you need any further info.",short term - 2 Bed/Bath unit for rent in wentworth point,Flatshare,"Pav,Gummie since, ,2016","65, , views",-33.8290589,151.0873578
964,Lachlan Ave,25/11/2018,1 Bathroom,1 Bedroom,14/11/2018,14/11/2018,Yes,Female,https://www.gumtree.com.au/s-ad/macquarie-park/flatshare-houseshare/room-for-rent-at-macquarie-park/1201000975,Street,No,$190,No,"Room for rent at Macquarie Park, only 5mins walks to Macquarie station/Bus stop, Macquarie University & Macquarie shopping Centre. Room is available on 25/11/18. A fully furnished room. For no smoking lady only. Rent is $190 pw including all bills.,3 weeks bond,Minimum stays 6 months, prefer someone stays longer,If you are interesting to inspect, please contact my mobile to make an appointment and No email please.",Room for rent at Macquarie Park,Flatshare,"Ani,Gummie since, ,2010","7, , views",-45.8580199,170.5082687
965,Rhodes NSW,15/11/2018,2 Bathrooms,3 Bedrooms,14/11/2018,14/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/rhodes/flatshare-houseshare/single-room-amazing-location/1201001300,Covered,No,$230,Yes,"Hey guys, we’re looking for a person to join our house in Burwood.,Available from 15/11/2018,ALL BILLS INCLUDED,Rent = $230pw per person.,*2 weeks bond,*2 weeks rent paid in advance,AMAZING LOCATION!!!,- 3 min walk from Burwood train station;,- 10 min by train to central station;,- 3 min from Westfield Shopping center;,- 4 min walk from Gym Anytime;,- Close to restaurants, markets;,- Excellent location;,- Parking for cars;,- Amazing Garden,- Really nice atmosphere, clean and cozy,* Will share the house with 3 more people,* Quiet and fun people.,This Room has 1 double bed, 1 study desk, 1 chair and wardrobe.,Interested, call me or send a message to book a inspection.",SIngle Room - Amazing Location,Houseshare,"JHON CLEANER,Gummie since, ,2017","61, , views",-33.8290589,151.0873578
966,"36/2 Hythe Street, Mount Druitt NSW",20/11/2018,1 Bathroom,2 Bedrooms,14/11/2018,15/11/2018,Yes,Female,https://www.gumtree.com.au/s-ad/mount-druitt/flatshare-houseshare/room-available-for-rent/1201005084,Covered,No,$200,No,"Room available for rent with punjabi couple in mount druit right next to the westfield. 5 minutes walk to railway station.,All bills including in rent ( gas, electricity and wifi).,$400 bond plus one week rent in advance ($600),*only Indian preferred*",Room available for rent,Flatshare,"Deep,Gummie since, ,2014","16, , views",-33.7634352,150.8221421
967,Canterbury,05/12/2018,1 Bathroom,Studio or Bachelor Pad,14/11/2018,14/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/canterbury/flatshare-houseshare/studio-apartment-for-one-person/1201001070,Street,No,$125,No,"Hello!,Shared accommodation available in Canterbury for one person with seperate bed and basic amenities.,Bus stop:- 2 mins,Woolworths Canterbury:- 6 mins,Canterbury station:- 7 mins,Aldi Supermarket:- 9 mins,If you have any doubts feel free to ping me.,Thank you.",Studio Apartment for one person,Flatshare,"Pritam,Gummie since, ,2016","65, , views",51.2800275,1.0802533
968,"Pacific Hwy, Lane Cove North",14/11/2018,,,14/11/2018,14/11/2018,Yes,,https://www.gumtree.com.au/s-ad/lane-cove/flatshare-houseshare/urgent-full-furnished-master-room-for-2-people/1201005418,,No,$160,No,"$160/person or $320/ couple,-Queen bed for couple or 2 single beds for 2 friends,- built-in wardrobe with plenty of space for clothes and personal belongings,- Share bathroom, kitchen, living room,- Internal laundry and plenty of clothes hanger.,- 2 mins walk to bus stop for 143, 144, 530, 536,- 10 mins walking to bus stop go to city via Freeway,- 15 mins walking to Lane Cove shopping or Artarmon station,- Rent including bills (Wi-Fi, water, gas, electricity),Inspection are welcome, please do not hesitate to contact me.",Urgent!!! Full furnished Master room for 2 people,,"Nooch,7, ,ads,Gummie since, ,2011","54, , views",-33.8052559,151.1792629
969,"Concord West, NSW",14/11/2018,2 Bathrooms,1 Bedroom,14/11/2018,14/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/concord-west/flatshare-houseshare/room-available-in-concord-west/1201006069,Street,No,$250,No,"Nice room comfortable, 600 mt far from station Tr. shops very close",Room available in concord west,Houseshare,"Simone,Gummie since, ,2017","21, , views",-33.843168,151.0920563
970,Hurstville NSW,15/11/2018,2 Bathrooms,3 Bedrooms,14/11/2018,14/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/hurstville/flatshare-houseshare/great-accommodation-heart-of-hurstville-city-/1201005422,Street,No,$280,No,"This apartment is located in the Heart of Hurstville. It is suitable for overseas students or full time worker ⁄ Professional.,Looking for Neat & Tidy Person with clean habits (prefer Indians / Nepalis).,* 1 big Bedroom with Wardrobe available to rent in spacious 3 bedroom apartment. ($280 for Single and $150 each (Share with another person ⁄ Twin share).,* 1 Bedroom with two beds available to rent & share with another guy. ( $260 for Single and $140 each (Share with another person ⁄ Twin share).,* Minutes’ walk to Hurstville Train Station & Bus Interchange, Westfield Shopping Centre, Post Office, RTA, NRMA, Hospital, Restaurants & all other amenities.,* 20 minutes approx to city by Train,* Unlimited Free WIFI,* Electricity & Gas Bills included.,* 2 Weeks Bond & 2 Weeks Rent required in advance.,* 2 Weeks’ notice required in advance, if vacating. Minimum stay 13 Weeks.,If interested please contact at: ******6763 or kam******@******.au",Great Accommodation (Heart of Hurstville City),Flatshare,"Kumar,Gummie since, ,2009","14, , views",-33.960707,151.1003611
971,"15 Campbell Street, Parramatta, NSW",17/11/2018,1 Bathroom,2 Bedrooms,14/11/2018,14/11/2018,Yes,Female,https://www.gumtree.com.au/s-ad/parramatta/flatshare-houseshare/share-accomodation-in-parramatta/1201010743,Covered,No,$230,No,"Looking for clean, tidy & resposible working female to share this 2BR fully furnished unit in Parramatta. Very close to all amenities . Bills & internet included in rent of $230 pw. 2wks bond required. Please contact ******9066 to arrange an inspection or leave message if not attended will get back to you asap.",SHARE ACCOMODATION in PARRAMATTA,Flatshare,"Cora,Gummie since, ,2012","24, , views",-33.7889634,150.9988542
972,"Gibbs St, Croydon NSW",14/11/2018,2 Bathrooms,4 Bedrooms,14/11/2018,23 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/croydon/flatshare-houseshare/room-to-rent-in-4-bedroom-house/1201011020,Street,Yes,$220,No,"Four bedroom house to be shared by 4 housemates. Now we are looking for the fourth one. The house is on a very quiet street, but in walking distantance to everything. 5-min walk to Croydon train station. 12 min walk to Burwood Westfield and alll sorts of restaurant, 15 min walk to Ashfield station. We respect each other's privacy and try to make the house as homey and comfy as we could. House mates are all from different countries as we embrace culture variety and love a bit of difference. English is the only language spoken in the house. Currently we have 2 boys and 1 girl, all mature and self-efficient. We prefer the fourth housemate to be a girl, but can also take a boy. We try to keep the public space clean by taking turns to do chores, would expect you to do the same. Note: We have a lovely cat in the house, hope you don't mind. Also, the rent has all bills included.",Room to rent in 4-bedroom house,Houseshare,"Josh,Gummie since, ,2018","20, , views",-33.8802552,151.1166161
973,659 Gardeners road mascot,14/11/2018,2 Bathrooms,2 Bedrooms,14/11/2018,16 hours ago,Yes,No Preference,https://www.gumtree.com.au/s-ad/mascot/flatshare-houseshare/brand-new-second-room-at-mascot/1201011393,Covered,No,$300,No,"Brand new apartment - second room for rent,$300 share bills,The room is for 1 person and it has built in wardrobe.,You will share bathroom with another girl.,It is a 2 bedroom plus study and it will be only 3 people including you.,Suitable for professional or student.,Apartment is fully furnished. Your room is furnished with brand new double bed and mattress.,Apartment is very conveniently located.,5 minutes walk to mascot station, restaurants, and groceries shopping.,Rooftop pool and BBQ area,Gym facilities,Quite and tidy / No party / No Smoking.,2 weeks bond and 2 weeks rent in advance.",Brand new second room at Mascot,Flatshare,"Yen,Gummie since, ,2018","35, , views",-33.9199783,151.1852064
